postcode,point_coord,street,city,state,is_klang_valley,is_peninsular,is_east_malaysia,is_kuala_lumpur
1000,POINT(6.4312 100.2056),Kampung Sena,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Sentang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Sentua,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Seriab,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Sungai Bakong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Sungai Baru,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Sungai Santan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Sungai Siran,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Surau,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Syed Umar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tanjung Buluh,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tanjung Gorah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tanjung Sila,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tanjung,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tebing Tinggi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Telaga Idi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Telaga Nyiur Manis,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Telok Epa,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Telok Gelam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Telok Jambu,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Telok Kacang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Telok Tui,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Temak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tengah Abi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Titi Teras,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Titi Tok Bandar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Dewa,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Gong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Jawa,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Jepun,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Kandang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Kembong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Larak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Peduka,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Pong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Tok Sumbing,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Ujung Bukit,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Utan Aji,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Utan Temak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Wang Belimbing,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Wang Besar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Wang Ulu,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kangar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kubang Arang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Lorong Haji Seman,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Lorong Kampung Sena,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Lorong Nisam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Lorong Sekolah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Lukuk Gajah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Mengkuang Layar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Padang Bohor,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Pengkalan Asam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Perumahan Awam Bohor Lateh,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Perumahan Awam Santan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Repoh,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Sena Rendang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Abu Bakar Munir,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Aman,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Bakau Emas,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Behor Indah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Bintong Maju,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Bintong Setia,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Bintong Utama,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Bukit Kaya,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Bukit Kayangan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Bumita,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Bunga Kemboja RPA,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Bunga Raya,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Cahaya,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Cergas,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Ceria,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Choo Kee,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Datuk Jaafar Hassan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Datuk Setia,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Datuk Wan Ahmad,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Desa Bintong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Desa Jarak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Desa Katong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Desa Kayangan,Kangar,Perlis,0,1,0,0
